proto,class,support,mean_resid,p90_resid
255,29,99.0,0.7953470281579278,1.0780547618865968
256,29,52.0,0.4148185559763358,0.5547230958938598
257,29,20.0,0.33441319316625595,0.5079405725002288
258,30,39.0,0.4849445781646631,0.6613028764724732
259,30,19.0,0.3978986998921947,0.6114976048469544
260,30,122.0,0.5610649798248635,0.7313565731048585
261,30,34.0,0.5456844673437231,0.7648710787296294
262,30,45.0,0.47100041309992474,0.7311912536621095
263,30,57.0,0.4513991469876808,0.6586697220802307
264,30,31.0,0.3699191972132652,0.5245962142944336
265,30,19.0,0.4703351721951836,0.6726596593856812
266,31,29.0,0.46007141676442376,0.5810012698173523
267,31,33.0,0.5253561292633866,0.6506083726882934
268,31,69.0,0.49411357831263886,0.6643242239952087
269,31,32.0,0.5452835308387876,0.7007799983024597
270,31,23.0,0.41438533948815387,0.511742627620697
271,31,40.0,0.41202981807291506,0.5632411122322083
272,31,43.0,0.525320231221443,0.6911903619766238
273,31,61.0,0.4980375678812871,0.6142340898513794
274,31,34.0,0.405689112842083,0.55197474360466
275,32,30.0,0.41568706681330997,0.5573748350143434
276,32,32.0,0.4168592309579253,0.582573401927948
277,32,24.0,0.3692154083400965,0.49756365120410917
278,32,55.0,0.4224940839138898,0.5507868885993957
279,32,23.0,0.4033939436725948,0.5451595783233643
280,32,41.0,0.4800128871347846,0.6413019299507141
281,32,21.0,0.33973921338717145,0.4228656589984894
282,32,105.0,0.5809388606321244,0.7404204964637756
283,32,62.0,0.46494260430336,0.6637409567832947
284,33,24.0,0.31838287226855755,0.4641245335340499
285,33,26.0,0.4680362699123529,0.6985054612159729
286,33,27.0,0.3222056356845079,0.47658545374870304
287,33,50.0,0.3754283154010773,0.4613810390233994
288,33,125.0,0.47045340061187746,0.6446664094924927
289,33,59.0,0.3767914958929611,0.509767484664917
290,33,29.0,0.23118844063117586,0.30788086652755736
291,33,16.0,0.32512847799807787,0.47009119391441345
292,33,25.0,0.31191978871822357,0.4351323187351227
293,34,17.0,0.5541603512623731,0.6852119326591491
294,34,41.0,0.5628289318666225,0.7418204545974731
295,34,37.0,0.43179508842326497,0.6003030061721801
296,34,19.0,0.5175011706979651,0.7676094174385071
297,34,38.0,0.4846715997708471,0.6688650429248811
298,34,42.0,0.38386147824071704,0.6088748753070831
299,34,40.0,0.4269914492964745,0.5909166276454927
300,34,35.0,0.4311294721705573,0.5806053638458252
301,34,87.0,0.5427680909633636,0.6881628036499025
302,35,30.0,0.3708339696129163,0.5192716777324677
303,35,14.0,0.4656291774341038,0.5983594000339508
