proto_i,class_i,proto_j,class_j,dist,mean_resid_i,p90_resid_i,mean_resid_j,p90_resid_j
29,3,248,28,0.4054379463195801,0.381362585829837,0.5338065683841705,0.45689068429849367,0.6428525388240814
178,20,239,27,0.4057387709617615,0.3745594572495012,0.4770769506692886,0.5844905248171166,0.9941788196563721
358,41,41,5,0.4061357378959656,0.4559738024284965,0.5255251526832581,0.3940834601720174,0.538129985332489
117,13,211,24,0.4065841734409332,0.41783284147580463,0.5485596358776093,0.30605476680729127,0.3655262976884842
211,24,117,13,0.4065841734409332,0.30605476680729127,0.3655262976884842,0.41783284147580463,0.5485596358776093
163,18,187,21,0.40685129165649414,0.3916875720024109,0.5167022347450256,0.6246654812305693,0.8904556632041931
264,30,311,36,0.4078647196292877,0.3699191972132652,0.5245962142944336,0.4271730153184188,0.6363406538963318
46,5,247,28,0.4082660675048828,0.3955046480894089,0.5806831002235414,0.43446263670921326,0.5326264917850497
247,28,46,5,0.4082660675048828,0.43446263670921326,0.5326264917850497,0.3955046480894089,0.5806831002235414
165,19,327,37,0.4090123772621155,0.5277120489627123,0.6096178889274597,0.443668644875288,0.5883301198482513
327,37,165,19,0.4090123772621155,0.443668644875288,0.5883301198482513,0.5277120489627123,0.6096178889274597
14,1,189,21,0.40948405861854553,0.2722279359896978,0.40362591445446017,0.4777665776865823,0.6940918982028962
205,23,275,32,0.41021832823753357,0.5051283669471741,0.6819134831428528,0.41568706681330997,0.5573748350143434
275,32,205,23,0.41021832823753357,0.41568706681330997,0.5573748350143434,0.5051283669471741,0.6819134831428528
118,13,5,0,0.41044577956199646,0.38745706172093103,0.488300222158432,0.3902083124433245,0.49993758201599126
229,26,71,8,0.4125656187534332,0.43640861979552675,0.5269827842712402,0.3588879576256109,0.4442368924617768
233,26,386,44,0.41367051005363464,0.4054429613881641,0.5479701220989228,0.49742858500584314,1.0506459951400757
160,18,9,1,0.41379186511039734,0.42307063586571636,0.5343027591705323,0.3033594169160899,0.47128286659717583
364,42,174,20,0.4140909016132355,0.36508520100361264,0.519889497756958,0.32799803400817124,0.45477257668972015
98,11,384,44,0.4142305552959442,0.4184425900379817,0.5964248895645141,0.4620203971862793,0.6612844944000245
33,4,149,17,0.41484180092811584,0.36242891490459445,0.49983072280883795,0.28471906579309897,0.35944636464118956
238,27,383,44,0.4159400165081024,0.32999419927597046,0.4471102058887482,0.41722798181904686,0.5116887122392655
283,32,264,30,0.41652411222457886,0.46494260430336,0.6637409567832947,0.3699191972132652,0.5245962142944336
23,2,303,35,0.4168285131454468,0.5628216124716259,0.6685859560966492,0.4656291774341038,0.5983594000339508
